jb_id,id,inmobiliaria,nombre,M,M_planta_ok,M_planta_falta,U,U_precio_ok,U_precio_falta,U_sup_ok,U_sup_falta,U_huerfanas,U_dups
IDLyBU4W,jb-idlybu4w,AJ URBANA,Edificio DownTown San Martín,21,19,2,141,141,0,141,0,0,0
atUiRS6M,jb-atuirs6m,AJ URBANA,Edificio Teatinos 750,16,12,4,42,42,0,42,0,0,0
NgBHe0jo,jb-ngbhe0jo,AJ URBANA,Edificio Vista Amunategui,18,15,3,84,84,0,84,0,0,0
GMrPAyQt,jb-gmrpayqt,AJ URBANA,Edificio Vista Morandé,19,16,3,94,94,0,94,0,0,0
hSeBHnw1,jb-hsebhnw1,CISS,Fuentes de Lomas III,1,1,0,14,14,0,14,0,0,0
1gaVJbKl,jb-1gavjbkl,CISS,Fuentes de Lomas IV,3,1,2,15,15,0,15,0,0,0
75PDpryA,jb-75pdprya,CISS,Fuentes de Miguel Collao,1,1,0,39,39,0,39,0,0,0
9YO68rOa,jb-9yo68roa,Ecasa,Aires La Florida 2,9,7,2,128,128,0,128,0,0,0
vWeKp0EM,jb-vwekp0em,Ecasa,Bezanilla,7,2,5,15,15,0,15,0,0,0
thmz67c6,jb-thmz67c6,Ecasa,Bosquemar,5,4,1,25,25,0,25,0,0,0
WGfF1Hcm,jb-wgff1hcm,Ecasa,Cumbres de Peñuelas,4,3,1,16,16,0,16,0,0,0
LXXJ9agb,jb-lxxj9agb,Ecasa,Edificio HA,3,2,1,4,4,0,4,0,0,0
kUYM4Rl8,jb-kuym4rl8,Ecasa,Terratoltén,4,0,4,16,16,0,16,0,0,0
wHL2AUKl,jb-whl2aukl,Ecasa,Terratoltén 2,5,0,5,70,70,0,70,0,0,0
mshykABZ,jb-mshykabz,Ecasa,Urban La Florida,4,3,1,75,75,0,75,0,0,0
Xm0ZQPxk,jb-xm0zqpxk,EuroInmobiliaria,Edificio Vitro,5,4,1,406,406,0,406,0,0,0
Dw5PBsEd,jb-dw5pbsed,EuroInmobiliaria,Guillermo Mann 1401,3,3,0,27,27,0,27,0,0,0
qlkZufJk,jb-qlkzufjk,EuroInmobiliaria,Independencia 4745,8,4,4,128,128,0,128,0,0,0
R5cTUSc8,jb-r5ctusc8,EuroInmobiliaria,Jose Pedro Alessandri 1498,5,5,0,139,139,0,139,0,0,0
b7Aniv5k,jb-b7aniv5k,EuroInmobiliaria,Rosas 1444,5,0,5,120,120,0,120,0,0,0
PsqVqc03,jb-psqvqc03,EuroInmobiliaria,Vicuña Mackenna 1432,5,5,0,70,70,0,70,0,0,0
48t1IInf,jb-48t1iinf,INMOBILIARIA LARRAIN PRIETO,EDIFICIO CONEXIÓN INDEPENDENCIA,17,16,1,0,0,0,0,0,0,0
SUWJ0Rye,jb-suwj0rye,INMOBILIARIA LARRAIN PRIETO,EDIFICIO MISSOURI 3885,24,8,16,1,1,0,1,0,0,0
Sfp8j2Sq,edificio-u-oa-za-artu-Sfp8j2Sq,INMOBILIARIA LARRAIN PRIETO,EDIFICIO ÑUÑOA ZAÑARTU,22,12,10,8,8,0,8,0,0,0
iB3uhp34,jb-ib3uhp34,INMOBILIARIA LARRAIN PRIETO,ZAPADORES 1821,14,11,3,106,106,0,106,0,0,0
pkR9sdRb,jb-pkr9sdrb,Ileon,Edificio B.Come,28,24,4,77,77,0,77,0,0,0
G3jWrRoE,jb-g3jwrroe,Ingevec,Abdón Cifuentes,30,25,5,51,51,0,51,0,50,0
hvEkYVJq,jb-hvekyvjq,Ingevec,Brasil,4,4,0,142,142,0,142,0,0,0
86YW1rPt,jb-86yw1rpt,Ingevec,Centenario I,30,28,2,28,28,0,28,0,1,0
NeOU0rvU,jb-neou0rvu,Ingevec,Diagonal Paraguay 240,15,11,4,4,4,0,4,0,0,0
is9kmud9,jb-is9kmud9,Ingevec,Don Ignacio,30,23,7,96,96,0,96,0,0,0
AJBqsIIi,jb-ajbqsiii,Ingevec,Edificio Serrano Capital,3,3,0,183,183,0,183,0,0,0
jfkJBrPQ,jb-jfkjbrpq,Ingevec,Froilan Roa,30,17,13,0,0,0,0,0,0,0
WWMCny3E,jb-wwmcny3e,Ingevec,Los Alerces,25,23,2,0,0,0,0,0,0,0
CGFo7vDQ,jb-cgfo7vdq,Ingevec,Matta,2,1,1,31,31,0,31,0,0,0
T8UuEf2r,jb-t8uuef2r,Ingevec,Santa Rosa 250,10,9,1,0,0,0,0,0,0,0
72GkWnlW,jb-72gkwnlw,Ingevec,Terrazzo,6,0,6,211,211,0,211,0,0,0
